java -cp ./bin:./lib/postgresql-42.1.4.jar cli/differentiate_genre Horror Romance pdiff1

<gothic, 0.4945559799313546>
<zombies, 0.4945559799313546>
<franchise, 0.3752643684918209>
<vampire, 0.3752643684918209>
<vampires, 0.3752643684918209>
<action, 0.2637908288810491>
<horror, 0.2637908288810491>
<werewolves, 0.2637908288810491>
<zombie, 0.2637908288810491>
<cannibalism, 0.1619585932421463>
<comic book, 0.1619585932421463>
<hilarious, 0.1619585932421463>
<slasher, 0.1619585932421463>
<violent, 0.1619585932421463>
<psychology, 0.15822334087376455>
<serial killer, 0.15822334087376455>
<parody, 0.1549890925102089>
<interesting, 0.09033914779247786>
<sequel, 0.09033914779247786>
<pointless, 0.07695743519793224>
<stupid, 0.07695743519793224>
<thriller, 0.07695743519793224>
<alien, 0.07333903063963926>
<alien invasion, 0.07333903063963926>
<antarctica, 0.07333903063963926>
<author:alan moore, 0.07333903063963926>
<big budget, 0.07333903063963926>
<claustrophobic, 0.07333903063963926>
<clowns, 0.07333903063963926>
<comics, 0.07333903063963926>
<corny, 0.07333903063963926>
<creepy, 0.07333903063963926>
<dark, 0.07333903063963926>
<dynamic cgi action, 0.07333903063963926>
<gore, 0.07333903063963926>
<gory, 0.07333903063963926>
<hannibal lecter, 0.07333903063963926>
<heroine in tight suit, 0.07333903063963926>
<inspirational, 0.07333903063963926>
<island, 0.07333903063963926>
<marvel, 0.07333903063963926>
<mental hospital, 0.07333903063963926>
<monsters, 0.07333903063963926>
<mummy, 0.07333903063963926>
<murder, 0.07333903063963926>
<mystery, 0.07333903063963926>
<sappy, 0.07333903063963926>
<slapstick, 0.07333903063963926>
<spoof, 0.07333903063963926>
<surprise ending, 0.07333903063963926>
<underrated, 0.07333903063963926>
<unintentionally funny, 0.07333903063963926>
<virus, 0.07333903063963926>
<atmospheric, 0.03561434009809541>
<adapted from:game, 0.017496836992787475>
<disappointing, 0.017496836992787475>
<england, 0.017496836992787475>
<great movie, 0.017496836992787475>
<idiotic, 0.017496836992787475>
<london, 0.017496836992787475>
<mindfuck, 0.017496836992787475>
<monster, 0.017496836992787475>
<nudity (topless - brief), 0.017496836992787475>
<predictable, 0.017496836992787475>
<twist ending, 0.017496836992787475>
<very good, 0.017496836992787475>
<video game adaptation, 0.017496836992787475>
<boring, 0.016645737512472766>
<comedy, 0.01519883385754414>
<not funny, 0.01519883385754414>
<nudity (rear), 0.01519883385754414>
<british, 0.0023008431202034873>
<waste of time, 0.0023008431202034873>
<nudity (topless), 0.0019973244526979178>
<remake, 4.217446528692922E-4>
<adventure, -1.746060280887683E-4>
<affectionate, -1.746060280887683E-4>
<aliens, -1.746060280887683E-4>
<amazing cinematography, -1.746060280887683E-4>
<american civil war, -1.746060280887683E-4>
<animation, -1.746060280887683E-4>
<art, -1.746060280887683E-4>
<australia, -1.746060280887683E-4>
<awful, -1.746060280887683E-4>
<ballet, -1.746060280887683E-4>
<bdsm, -1.746060280887683E-4>
<berlin, -1.746060280887683E-4>
